Index,Id,Date,Hexlat,Hexlong,Price,Bathrooms,Bedrooms,Condition,Floors,Grade,Sqft Above,Sqft Basement,Sqft Living,Sqft Living15,Sqft Lot,Sqft Lot15,View,Waterfront,Yr Built,Yr Renovated,Zipcode,Nuisance Crime,Other Crime,Property Crime,Violent Crimes
603,269000240,10/30/2014,47.64294333,-122.39,"1,050,000",2.25,5,5,1,8,1550,1410,2960,2860,7680,7680,2,0,1958,0,98199,2,,13,
604,269000615,5/16/2014,47.64294333,-122.39,"875,000",2,3,4,1,7,1220,1000,2220,1800,6641,5900,2,0,1947,0,98199,2,,13,
605,269000950,7/30/2014,47.64294333,-122.39,"990,000",4,3,3,2,8,2050,500,2550,2340,3900,6400,2,0,1940,2003,98199,2,,13,
606,269000970,4/2/2015,47.64294333,-122.39,"1,300,000",3.75,5,3,2,9,3460,990,4450,2550,7680,6400,0,0,2010,0,98199,2,,13,
607,269001331,9/9/2014,47.63717,-122.39,"1,308,000",2.5,5,5,1,8,1600,1600,3200,2640,7863,7680,3,0,1959,0,98199,,3,27,1
608,269001360,4/22/2015,47.64005667,-122.385,"775,000",1.75,4,3,1,7,1510,810,2320,1840,5595,5596,0,0,1956,0,98199,1,3,17,
610,272000085,2/19/2015,47.58521,-122.3,"751,000",3,6,3,2,7,2880,0,2880,1640,6800,4000,0,0,1980,0,98144,25,13,109,23
611,272000125,8/29/2014,47.59098333,-122.3,"438,000",1,3,4,1.5,6,1200,0,1200,1390,4000,4000,0,0,1923,0,98144,11,6,39,5
612,272000220,9/23/2014,47.59098333,-122.3,"417,000",2,4,3,1,6,1060,1030,2090,1590,4000,4000,0,0,1907,0,98144,11,6,39,5
613,272000320,11/5/2014,47.58521,-122.3,"398,000",1.5,3,3,2,7,1310,0,1310,1310,2996,2997,0,0,1998,0,98144,25,13,109,23
614,272000355,11/8/2014,47.58521,-122.3,"325,000",1.5,3,3,2,7,1310,0,1310,1310,2998,2997,0,0,1998,0,98144,25,13,109,23
615,272000620,12/2/2014,47.58809667,-122.295,"290,000",1,2,3,2,7,900,0,900,900,2728,2728,0,0,1998,0,98144,3,5,32,2
616,272000945,3/25/2015,47.58809667,-122.295,"826,000",3.25,3,3,1,10,1730,600,2330,2080,4000,4000,2,0,1964,2000,98144,3,5,32,2
624,284000025,4/20/2015,47.50149333,-122.385,"1,410,000",2,2,5,1,9,1580,600,2180,2480,18525,21503,4,1,1952,0,98146,,,1,
625,284000095,9/22/2014,47.50149333,-122.385,"1,200,000",2.25,2,4,2,9,2160,0,2160,2660,17861,18530,4,1,1956,0,98146,,,1,
626,284000223,9/16/2014,47.50438,-122.38,"578,000",1.75,3,3,1,8,1540,580,2120,2460,10875,11760,2,0,1977,0,98146,2,,9,
627,287000110,6/25/2014,47.50149333,-122.385,"680,000",1.5,4,5,1,8,1440,440,1880,2070,6200,6500,2,0,1954,0,98146,,,1,
628,290000055,5/16/2014,47.50726667,-122.385,"720,000",1,2,4,1,7,1700,320,2020,2020,7200,7200,3,0,1947,0,98146,4,2,19,
629,290000075,2/25/2015,47.50726667,-122.385,"550,000",1,3,3,1,7,1260,0,1260,2020,6000,6600,3,0,1951,0,98146,4,2,19,
630,290000095,6/17/2014,47.50726667,-122.385,"675,000",1.75,6,3,1,8,1370,1370,2740,2150,6360,6600,3,0,1953,0,98146,4,2,19,
648,293000036,4/3/2015,47.53324667,-122.38,"495,000",2,4,4,1,7,1230,380,1610,1180,4770,6120,0,0,1941,0,98126,1,3,28,1
649,293000068,6/13/2014,47.53324667,-122.38,"556,000",1.75,3,3,1,7,1090,550,1640,1640,7437,7436,0,0,1948,0,98126,1,3,28,1
650,293000145,11/13/2014,47.53324667,-122.38,"250,000",1,4,3,1,6,1080,360,1440,1620,7404,7436,0,0,1918,0,98126,1,3,28,1
651,293000165,8/19/2014,47.53324667,-122.38,"442,000",1.5,3,3,1,7,1350,700,2050,1590,6384,7214,0,0,1958,0,98126,1,3,28,1
652,293000180,5/7/2015,47.53324667,-122.38,"370,000",1,2,2,1,6,910,0,910,1620,5525,5525,0,0,1910,0,98126,1,3,28,1
663,293670040,10/8/2014,47.68913333,-122.34,"482,500",2.5,2,3,2,9,1170,0,1170,1170,809,1121,0,0,2007,0,98103,10,4,65,3
714,306000565,8/25/2014,47.69779333,-122.345,"290,000",1.5,2,3,3,8,1020,0,1020,980,1275,1415,0,0,2008,0,98103,33,23,72,12
715,312000135,5/20/2014,47.55634333,-122.39,"483,945",1.75,2,4,1,6,840,640,1480,1090,5120,5120,0,0,1951,0,98116,3,3,27,1
